Date,Price,Open,High,Low,Change %,days
7/20/2011,1.422,1.4153,1.4243,1.4133,0.45%,3013
7/21/2011,1.4423,1.4226,1.444,1.4139,1.43%,3014
7/22/2011,1.4356,1.4423,1.444,1.4325,-0.46%,3015
7/25/2011,1.4376,1.4398,1.4408,1.4325,0.14%,3016
7/26/2011,1.4512,1.4375,1.4526,1.4356,0.95%,3017
7/27/2011,1.4365,1.4514,1.4537,1.4339,-1.01%,3018
7/28/2011,1.4331,1.4373,1.4402,1.4253,-0.24%,3019
7/29/2011,1.4396,1.4328,1.4414,1.4229,0.45%,3020
8/1/2011,1.4251,1.4358,1.4455,1.4186,-1.01%,3021
8/2/2011,1.4193,1.4262,1.4284,1.415,-0.41%,3022
8/3/2011,1.4325,1.4183,1.4345,1.4143,0.93%,3023
8/4/2011,1.4108,1.4332,1.4371,1.4089,-1.51%,3024
8/5/2011,1.4282,1.4099,1.4299,1.4056,1.23%,3025
8/8/2011,1.4177,1.4387,1.4404,1.4131,-0.74%,3026
8/9/2011,1.437,1.4173,1.4381,1.4152,1.36%,3027
8/10/2011,1.4174,1.4395,1.4403,1.4162,-1.36%,3028
8/11/2011,1.4243,1.4163,1.4296,1.4103,0.49%,3029
8/12/2011,1.4249,1.424,1.4293,1.415,0.04%,3030
8/15/2011,1.4446,1.4261,1.4478,1.4261,1.38%,3031
8/16/2011,1.4409,1.4447,1.4474,1.4354,-0.26%,3032
8/17/2011,1.4425,1.4403,1.4519,1.4325,0.11%,3033
8/18/2011,1.4331,1.4423,1.4451,1.427,-0.65%,3034
8/19/2011,1.4398,1.4329,1.4455,1.4259,0.47%,3035
8/22/2011,1.436,1.4375,1.4436,1.4346,-0.26%,3036
8/23/2011,1.4438,1.4358,1.4499,1.4352,0.54%,3037
8/24/2011,1.4413,1.4432,1.4482,1.4379,-0.17%,3038
8/25/2011,1.438,1.4412,1.4476,1.4327,-0.23%,3039
8/26/2011,1.4499,1.4374,1.4503,1.4329,0.83%,3040
8/29/2011,1.451,1.4497,1.455,1.4466,0.08%,3041
8/30/2011,1.4446,1.4516,1.4535,1.4385,-0.44%,3042
8/31/2011,1.4379,1.4436,1.447,1.436,-0.46%,3043
9/1/2011,1.4259,1.4375,1.4381,1.4224,-0.83%,3044
9/2/2011,1.4205,1.426,1.4291,1.4184,-0.38%,3045
9/5/2011,1.4092,1.4167,1.4174,1.4061,-0.80%,3046
9/6/2011,1.4,1.4097,1.4277,1.3973,-0.65%,3047
9/7/2011,1.4097,1.3994,1.4148,1.3992,0.69%,3048
9/8/2011,1.3882,1.4094,1.4097,1.3872,-1.53%,3049
9/9/2011,1.3653,1.3883,1.3938,1.3628,-1.65%,3050
9/12/2011,1.3673,1.3568,1.3693,1.35,0.15%,3051
9/13/2011,1.3683,1.367,1.3741,1.3558,0.07%,3052
9/14/2011,1.3747,1.3683,1.3785,1.3591,0.47%,3053
9/15/2011,1.3878,1.3744,1.3939,1.3704,0.95%,3054
9/16/2011,1.38,1.3886,1.3887,1.3755,-0.56%,3055
9/19/2011,1.3685,1.3672,1.3721,1.3587,-0.83%,3056
9/20/2011,1.3706,1.3674,1.3746,1.3594,0.15%,3057
9/21/2011,1.3566,1.3702,1.379,1.3558,-1.02%,3058
9/22/2011,1.346,1.3579,1.3601,1.3382,-0.78%,3059
9/23/2011,1.3498,1.3462,1.357,1.3417,0.28%,3060
9/26/2011,1.354,1.351,1.3552,1.3364,0.31%,3061
9/27/2011,1.3592,1.3527,1.3668,1.3478,0.38%,3062
9/28/2011,1.3542,1.359,1.3691,1.3533,-0.37%,3063
9/29/2011,1.3594,1.3529,1.368,1.352,0.38%,3064
9/30/2011,1.3386,1.3585,1.3604,1.3383,-1.53%,3065
10/3/2011,1.3169,1.3337,1.3382,1.3163,-1.62%,3066
10/4/2011,1.334,1.3183,1.3371,1.3146,1.30%,3067
10/5/2011,1.3348,1.3346,1.3385,1.3259,0.06%,3068
10/6/2011,1.3432,1.3354,1.3451,1.3241,0.63%,3069
10/7/2011,1.3377,1.3431,1.3527,1.3362,-0.41%,3070
10/10/2011,1.3643,1.3396,1.3699,1.3377,1.99%,3071
10/11/2011,1.3645,1.364,1.3685,1.3565,0.01%,3072
10/12/2011,1.3787,1.3649,1.3834,1.3581,1.04%,3073
10/13/2011,1.3776,1.3785,1.3829,1.3685,-0.08%,3074
10/14/2011,1.3877,1.3773,1.3896,1.3722,0.73%,3075
10/17/2011,1.3742,1.3885,1.3916,1.3726,-0.97%,3076
10/18/2011,1.3739,1.3735,1.3819,1.3653,-0.02%,3077
